snapped_at,price
2022-02-09,86.54164966375589
2022-02-10,90.21655187774643
2022-02-11,91.1547048680539
2022-02-12,81.68718694613128
2022-02-13,81.16809113081067
2022-02-14,78.26386646264866
2022-02-15,81.96691615397846
2022-02-16,92.80390482189645
2022-02-17,95.4392170602394
2022-02-18,88.22137798419865
2022-02-19,84.08542703442194
2022-02-20,85.23013900266344
2022-02-21,77.41401345063362
2022-02-22,70.01952448270374
2022-02-23,74.53198072066766
2022-02-24,73.9086267581712
2022-02-25,76.61415673133952
2022-02-26,80.98431323065903
2022-02-27,81.63315481487143
2022-02-28,74.94355130572825
2022-03-01,84.35136291891277
2022-03-02,86.8387438261796
2022-03-03,83.18374727675494
2022-03-04,78.8204261743839
2022-03-05,75.76934702978485
2022-03-06,76.91685905350708
2022-03-07,72.56544866386706
2022-03-08,71.90121422528819
2022-03-09,72.91840310031066
2022-03-10,77.68601254822927
2022-03-11,74.0372859223744
2022-03-12,71.19753938241577
2022-03-13,70.9730814670207
2022-03-14,68.1293468767722
2022-03-15,68.72931682791237
2022-03-16,69.86069079043209
2022-03-17,74.09989084863368
2022-03-18,79.69740209659133
2022-03-19,85.9769995308867
2022-03-20,89.7789238550164
2022-03-21,84.83859791861929
2022-03-22,86.54510826543354
2022-03-23,84.08753239701927
2022-03-24,86.01083064214492
2022-03-25,87.45969275809134
2022-03-26,83.65295450305895
2022-03-27,86.05962422715535
2022-03-28,89.54067092463066
2022-03-29,89.45931618959997
2022-03-30,92.74506752153239
2022-03-31,96.03856721446344
2022-04-01,95.70641184340114
2022-04-02,96.69185175690045
2022-04-03,96.2666507708467
2022-04-04,97.59860833356178
2022-04-05,95.48411623016165
2022-04-06,91.09254723289223
2022-04-07,82.88620887033565
2022-04-08,87.9556001242691
2022-04-09,83.7158295168013
2022-04-10,84.5988854460848
2022-04-11,82.08921919603439
2022-04-12,74.09278496530659
2022-04-13,76.52667001891224
2022-04-14,80.04523727101727
2022-04-15,76.85183582029906
2022-04-16,77.41784866621684
2022-04-17,77.98882366271391
2022-04-18,75.72613822533336
2022-04-19,77.7603107678984
2022-04-20,80.29005996330052
2022-04-21,78.3048460868706
2022-04-22,75.11001926660569
2022-04-23,74.21340586679122
2022-04-24,72.93665863010982
2022-04-25,71.60192696970599
2022-04-26,72.80715448320267
2022-04-27,68.60858880919736
2022-04-28,69.81844929678432
2022-04-29,67.23148451937278
2022-04-30,63.51258201027555
2022-05-01,57.14129526138718
2022-05-02,58.90822144177142
2022-05-03,60.42219155163724
2022-05-04,59.650852471194156
2022-05-05,67.08574750291743
2022-05-06,59.16745440890086
2022-05-07,57.052117694903394
2022-05-08,55.22212730615947
2022-05-09,51.37029489409138
2022-05-10,42.29912539310415
2022-05-11,44.44359769287889
2022-05-12,30.905388789126338
2022-05-13,30.418492954552146
2022-05-14,32.08904175544813
2022-05-15,34.00090967957494
2022-05-16,36.42635106021344
2022-05-17,32.59792703964918
2022-05-18,34.52224117418203
2022-05-19,29.540600912429856
2022-05-20,30.481869087117808
2022-05-21,28.984559165871044
2022-05-22,29.991178724482346
2022-05-23,31.839105738611583
2022-05-24,29.04343304305203
2022-05-25,28.969690286368852
2022-05-26,27.22219816282344
2022-05-27,23.594655327479263
2022-05-28,22.43282416091506
2022-05-29,24.888556335911904
2022-05-30,26.06716692068503
2022-05-31,27.638595072665453
2022-06-01,26.584636010574343
2022-06-02,23.815431880006667
2022-06-03,24.66754989255323
2022-06-04,22.970797168652684
2022-06-05,24.57940586593163
2022-06-06,24.167959286957178
2022-06-07,25.94347689960417
2022-06-08,24.747032869712
2022-06-09,24.504974257350753
2022-06-10,24.39330250101481
2022-06-11,22.124893835256515
2022-06-12,19.79512709605475
2022-06-13,17.57408470512002
2022-06-14,16.02818753951939
2022-06-15,16.553839568090634
2022-06-16,18.178176904996473
2022-06-17,15.744342203630783
2022-06-18,16.046664431647343
2022-06-19,14.89748243428906
2022-06-20,16.23227855745757
2022-06-21,17.165201281395408
2022-06-22,16.868800464344478
2022-06-23,16.122560991309637
2022-06-24,18.29371291808374
2022-06-25,20.667054566206573
2022-06-26,21.35267325083208
2022-06-27,19.81520009021221
2022-06-28,19.3444450723413
2022-06-29,18.121793946953645
2022-06-30,17.57450833209834
2022-07-01,16.82365591209281
2022-07-02,16.227030305230866
2022-07-03,16.354451563284275
2022-07-04,16.671169910221646
